Key,Description,Standard
SAY.Rino.7.Osada Rino,,"Oh, yes, of course. I saw you with Takagi-san after school. I think he's your friend, is he? "
SAY.Rino.8.You,,Yes. He's my friend. 
SAY.Rino.9.Osada Rino,,"Oh, I see. So, I'm glad I see you came here alone without him. He's always with you, so I never had a chance to talk with you. "
SAY.Rino.11.Osada Rino,,Please sit with me.
SAY.Rino.40.Osada Rino,,"Well, see you later Hideki..."
SAY.Rino.42.Osada Rino,,"Well, I am now alone again. What do I do now?"
MENU.Rino.51,,Ask why is she alone
MENU.Rino.52,,Comment about Rino's father
MENU.Rino.54,,Ask about his house
MENU.Rino.173,,"I should return, Taji is waiting me..."
SAY.Rino.58.You,,I can't leave this place. My friend Taji is waiting for me. He'll be worried if I don't return soon.
SAY.Rino.93.You,,"So, Osada-san, how is your house?"
SAY.Rino.95.Osada Rino,,"Call me Rino, please... "
SAY.Rino.97.Osada Rino,,"Boring. My house is Boring. I'm always alone because my father is working. And my sister as I said, is a cumbersome. "
SAY.Rino.98.You,,Boring?
SAY.Rino.99.Osada Rino,,"Yes... But I prefer one hundred times to be in my bed to stay in this party with people I don't like. But if I leave this place now, I'll have to stay the night alone in my home."
SAY.Rino.174.You,,Alone? Wouldn't your father and sister be with you at your house?
SAY.Rino.101.Osada Rino,,Never. They'll stay here all the night. So my house is alone right now... mh... 
SAY.Rino.103.Osada Rino,,"About that, why don't you come along with me to my house? "
MENU.Rino.105,,Go to her house
MENU.Rino.106,,Stay in the party
SAY.Rino.108.You,,"So, why are you alone in this corner?"
SAY.Rino.110.Osada Rino,,"I've drink a bit too much and felt a bit dizzy, so I sat here. Hehe. Sometimes I loose the count how much I drink. "
SAY.Rino.111.You,,And all the friends that are usually with you?
SAY.Rino.112.Osada Rino,,Friends? You mean the boys? *sighs* They're an annoyance. I really don't want to be with them. But they're prowling arround all the time.
SAY.Rino.113.Osada Rino,,"They aren't my friends. They only hang out with me because my father. He's the owner of Tokyo Daily, you know?"
SAY.Rino.115.You,,"Yes, the newspaper. "
SAY.Rino.116.Osada Rino,,I really hate all my familly. My father is so egocentric. And my sister... she's a pain in the ass. 
SAY.Rino.119.Osada Rino,,"So, I saw your father got featured as one of the top 10 most influential man in Tokyo."
SAY.Rino.121.Osada Rino,,My father is always worried about his personal image. In consecuence he don't let me do a lot of things that normal teenagers do. 
SAY.Rino.122.Osada Rino,,I asked him for a lot of months to let me invite some friends to my house. He always refused. The last week he said me he'll throwing this huge party for me with all the students on the school. 
SAY.Rino.123.Osada Rino,,He said the party will improve his image. But I don't really want a huge party. I only want to invite some friends to my house and spend some time together...
SAY.Rino.125.Osada Rino,,or maybe... 
SAY.Rino.126.You,,or maybe...?
SAY.Rino.127.Osada Rino,,Hehehe... 
SAY.Rino.134.,,This is Rino's room. Is so tiddy. It's so beautiful... like her...
SAY.Rino.135.You,,"So, this is your home..."
SAY.Rino.137.Osada Rino,,No... I don't call it my home.. a home is a place with love and peace. And I don't like to be here. 
SAY.Rino.139.Osada Rino,,"But now its different, because I am with you... <3"
SAY.Rino.140.Osada Rino,,"Hurry up, I don't want to lose time. "
SAY.Rino.142.Osada Rino,,Rino took my hand and kissed me slowly...
SAY.Rino.143.Osada Rino,,Please stay the night with me... 
SAY.Rino.144.You,,"Yes, Rino..."
SAY.Rino.148.You,,You look so beautiful...
SAY.Rino.149.Osada Rino,,"Thanks, Hideki. Please help me unfasten my bra. "
SAY.Rino.150.Osada Rino,,I love you Hideki. 
SAY.Rino.151.You,,I love you Rino. 
SAY.Rino.152.You,,We spent all the night doing pervert...I mean...lovely things...
SAY.Rino.156.You,,Okay... let's go to your house...
SAY.Rino.157.Osada Rino,,Perfect. It's near. A few blocks away.
CHARACTER.Takagi Taji,,Takagi Taji
CHARACTER.Beetle-chan,,Beetle-chan
CHARACTER.Mystery Man,,Mystery Man
CHARACTER.Osada Eri,<3,Osada Eri
CHARACTER.Osada Rino,,Osada Rino
CHARACTER.You,,You
